word,品詞,意味,頻出度,example_en,example_ja
accept,動詞,受け入れる,A,I decided to accept his offer.,私は彼の申し出を受けることにした。
achieve,動詞,達成する,A,She worked hard to achieve her goal.,彼女は目標を達成するために懸命に働いた。
act,動詞,行動する,A,We must act quickly to save the earth.,地球を救うために素早く行動しなければならない。
add,動詞,加える,A,Please add some salt to the soup.,スープに塩を少し加えてください。
admit,動詞,認める,A,He finally admitted his mistake.,彼はついに自分の間違いを認めた。
advertise,動詞,宣伝する,A,They are advertising the new game on TV.,彼らはテレビで新しいゲームを宣伝している。
advise,動詞,助言する,A,The doctor advised me to exercise.,医者は私に運動するように助言した。
agree,動詞,同意する,A,I agree with your idea.,私はあなたの考えに同意します。
allow,動詞,許可する,A,My parents allowed me to study abroad.,両親は私が留学することを許してくれた。
announce,動詞,発表する,A,The school announced the holiday today.,学校は今日、休日を発表した。
apologize,動詞,謝る,A,You should apologize for being late.,君は遅刻したことを謝るべきだ。
appear,動詞,現れる,A,A famous actor appeared on the news.,有名な俳優がニュースに現れた（出た）。
appreciate,動詞,感謝する,A,I really appreciate your kindness.,あなたの親切に本当に感謝しています。
approach,動詞,近づく,A,The train is approaching the station.,電車が駅に近づいている。
argue,動詞,議論する,A,Don't argue with your parents.,親と言い争いをしてはいけません。
arrange,動詞,手配する,A,I will arrange a taxi for you.,あなたのためにタクシーを手配しましょう。
attack,動詞,攻撃する,A,The bear attacked the campers.,クマがキャンプ客を襲った。
attend,動詞,出席する,A,He didn't attend the class yesterday.,彼は昨日、授業に出席しなかった。
attract,動詞,引きつける,A,This city attracts many tourists.,この都市は多くの観光客を惹きつける。
avoid,動詞,避ける,A,You should avoid eating too much sugar.,砂糖を摂りすぎるのは避けるべきだ。
award,動詞,授与する,A,He was awarded a gold medal.,彼は金メダルを授与された。
bake,動詞,焼く,A,My mother is baking bread now.,母は今、パンを焼いている。
balance,動詞,保つ,A,It's important to balance study and play.,勉強と遊びのバランスをとることが大切だ。
bear,動詞,耐える,A,I can't bear this hot weather.,この暑い天気には耐えられない。
beat,動詞,打ち負かす,A,Our team beat them in the game.,私たちのチームは試合で彼らを破った。
belong,動詞,所属する,A,I belong to the tennis club.,私はテニス部に所属している。
bite,動詞,かむ,A,The dog bit the mailman.,その犬は郵便配達員を噛んだ。
block,動詞,ふさぐ,A,The snow blocked the road.,雪が道をふさいだ。
blow,動詞,吹く,A,A strong wind began to blow.,強い風が吹き始めた。
borrow,動詞,借りる,A,Can I borrow your umbrella?,傘を借りてもいいですか。
bother,動詞,悩ませる,A,Stop bothering me!,私を困らせる（邪魔する）のはやめて！
breathe,動詞,呼吸する,A,It's difficult to breathe in this room.,この部屋では呼吸がしにくい。
broadcast,動詞,放送する,A,The game was broadcast live.,試合は生中継で放送された。
burn,動詞,燃える,A,The house was burning.,家が燃えていた。
cancel,動詞,取り消す,A,They had to cancel the trip.,彼らは旅行を中止しなければならなかった。
care,動詞,気にかける,A,She cares deeply about her students.,彼女は生徒たちのことをとても気にかけている。
carry,動詞,運ぶ,A,Can you help me carry this box?,この箱を運ぶのを手伝ってくれますか。
cause,動詞,引き起こす,A,Careless driving causes accidents.,不注意な運転が事故を引き起こす。
celebrate,動詞,祝う,A,We celebrated my sister's birthday.,私たちは妹の誕生日を祝った。
challenge,動詞,挑戦する,A,I want to challenge a new hobby.,新しい趣味に挑戦したい。
chat,動詞,おしゃべりする,A,I chatted with my friend online.,私はオンラインで友人と話した。
cheer,動詞,元気づける,A,This music always cheers me up.,この音楽はいつも私を元気づけてくれる。
choose,動詞,選ぶ,A,I don't know which dress to choose.,どのドレスを選べばいいかわからない。
clear,動詞,片づける,A,Please help me clear the table.,テーブルを片づけるのを手伝ってください。
climb,動詞,登る,A,They climbed Mt.,Fuji last summer. 彼らは昨夏の夏に富士山に登った。
collect,動詞,集める,A,My hobby is collecting old coins.,私の趣味は古い硬貨を集めることです。
comment,動詞,批評する,A,He refused to comment on the matter.,彼はその件についてコメントするのを拒んだ。
communicate,動詞,伝える,A,We communicate with each other by email.,私たちはメールで互いに連絡を取り合う。
compete,動詞,競う,A,Athletes compete for the gold medal.,選手たちは金メダルを競い合う。
complete,動詞,完成させる,A,I need to complete my homework.,私は宿題を終わらせる必要がある。
concentrate,動詞,集中する,A,I can't concentrate on my study here.,ここでは勉強に集中できない。
concern,動詞,心配させる,A,My parents are concerned about my health.,両親は私の健康を心配している。
confuse,動詞,混乱させる,A,Don't confuse these two words.,これら2つの単語を混同してはいけない。
connect,動詞,つなぐ,A,You can connect to the WiFi here.,ここでWiFiに接続できます。
consider,動詞,よく考える,A,We should consider the problem carefully.,その問題を慎重に考えるべきだ。
contact,動詞,連絡をとる,A,Please contact me if you need help.,助けが必要なら私に連絡してください。
contain,動詞,含む,A,This juice contains a lot of sugar.,このジュースは多くの砂糖を含んでいる。
continue,動詞,続ける,A,It continued to rain all day.,一日中雨が降り続いた。
cost,動詞,費用がかかる,A,"This watch cost 5,000 yen.","この時計は5,000円した。"
count,動詞,数える,A,Can you count the number of students?,生徒の数を数えられますか。
cover,動詞,覆う,A,The mountain was covered with snow.,山は雪で覆われていた。
create,動詞,創造する,A,I want to create something new.,私は何か新しいものを作りたい。
damage,動詞,損害を与える,A,The storm damaged many houses.,嵐が多くの家に損害を与えた。
debate,動詞,討論する,A,Students debated the new school rules.,生徒たちは新しい校則について討論した。
decide,動詞,決める,A,I decided to study English every day.,私は毎日英語を勉強することに決めた。
delay,動詞,遅らせる,A,The flight was delayed for two hours.,飛行機は2時間遅れた。
deliver,動詞,配達する,A,They deliver newspapers every morning.,彼らは毎朝新聞を配達している。
depend,動詞,頼る / 〜次第,A,Success depends on your effort.,成功は君の努力次第だ。
describe,動詞,描写する,A,Can you describe the man you saw?,あなたが見た男の特徴を説明できますか。
design,動詞,設計する,A,She designs beautiful jewelry.,彼女は美しい宝飾品をデザインしている。
destroy,動詞,破壊する,A,Many buildings were destroyed by the fire.,多くの建物が火事で破壊された。
develop,動詞,発達させる,A,The company developed a new technology.,その会社は新技術を開発した。
die,動詞,死ぬ,A,My grandfather died three years ago.,私の祖父は3年前に亡くなった。
disappear,動詞,消える,A,The sun disappeared behind the clouds.,太陽が雲の後ろに消えた。
disappoint,動詞,失望させる,A,The movie disappointed me.,その映画は私をがっかりさせた。
discover,動詞,発見する,A,Columbus discovered America.,コロンブスはアメリカを発見した。
discuss,動詞,話し合う,A,We need to discuss the plan.,私たちはその計画について話し合う必要がある。
divide,動詞,分ける,A,Please divide the cake into four.,ケーキを4つに分けてください。
drop,動詞,落とす,A,I accidentally dropped my phone.,うっかりスマホを落としてしまった。
earn,動詞,稼ぐ,A,He earns a lot of money as a doctor.,彼は医者としてたくさんのお金を稼いでいる。
encourage,動詞,勇気づける,A,My teacher encouraged me to study hard.,先生は一生懸命勉強するよう私を励ました。
enter,動詞,入る,A,You must not enter this room.,この部屋に入ってはいけません。
escape,動詞,逃げる,A,The bird escaped from the cage.,鳥がカゴから逃げた。
exist,動詞,存在する,A,I don't believe that ghosts exist.,私は幽霊が存在するとは信じていない。
expect,動詞,期待する,A,I expect that he will come soon.,彼はすぐに来るだろうと思う。
experience,動詞,経験する,A,I experienced many things in London.,私はロンドンで多くのことを経験した。
explain,動詞,説明する,A,Can you explain how to use this?,これの使い方を説明してくれますか。
express,動詞,表現する,A,It is hard to express my feelings.,自分の気持ちを表現するのは難しい。
face,動詞,直面する,A,We are facing a difficult situation.,私たちは難しい状況に直面している。
fail,動詞,失敗する,A,He failed the math test.,彼は数学のテストに落ちた。
feed,動詞,食べ物を与える,A,Don't forget to feed the dog.,犬に餌をやるのを忘れないで。
fight,動詞,戦う,A,They fought bravely in the war.,彼らは戦争で勇敢に戦った。
fill,動詞,満たす,A,Fill the glass with water.,グラスに水を注いでください。
follow,動詞,ついていく,A,Please follow me to the office.,事務所まで私についてきてください。
force,動詞,強いる,A,You can't force him to eat.,彼に無理やり食べさせることはできない。
gain,動詞,得る,A,I gained weight during the vacation.,私は休暇中に体重が増えた。
gather,動詞,集める,A,People gathered to see the parade.,パレードを見るために人々が集まった。
grow,動詞,育つ,A,My grandmother grows flowers.,祖母は花を育てている。
guess,動詞,推測する,A,Guess what I bought for you.,君に何を買ってきたか当ててみて。
happen,動詞,起こる,A,What happened to you?,何があったのですか。
harm,動詞,害する,A,Smoking harms your health.,喫煙は健康を害する。
hate,動詞,嫌う,A,I hate waking up early.,私は早起きが嫌いだ。
hide,動詞,隠す,A,She hid the present behind her back.,彼女はプレゼントを背中に隠した。
hire,動詞,雇う,A,They decided to hire a new teacher.,彼らは新しい先生を雇うことに決めた。
hold,動詞,持つ / 開催する,A,"Hold my bag for a moment, please.",私のカバンを少しの間持っていてください。
hurt,動詞,痛む / 傷つける,A,My head hurts a little.,頭が少し痛みます。
ignore,動詞,無視する,A,Don't ignore my questions.,私の質問を無視しないでください。
imagine,動詞,想像する,A,Can you imagine living on Mars?,火星に住むことを想像できますか。
improve,動詞,向上させる,A,I want to improve my English.,私は英語を上達させたい。
include,動詞,含む,A,The price includes breakfast.,価格には朝食が含まれている。
increase,動詞,増える,A,The number of students is increasing.,学生の数が増えている。
influence,動詞,影響を与える,A,Music can influence our feelings.,音楽は私たちの感情に影響を与える。
introduce,動詞,紹介する,A,Let me introduce myself.,自己紹介させてください。
invent,動詞,発明する,A,Who invented the telephone?,誰が電話を発明したのですか。
invite,動詞,招待する,A,I invited her to the party.,私は彼女をパーティーに招待した。
issue,動詞,発行する,A,The bank issued a new card.,銀行は新しいカードを発行した。
judge,動詞,判断する,A,Don't judge people by their clothes.,服装で人を判断してはいけない。
lack,動詞,欠いている,A,He lacks the confidence to speak.,彼は話す自信を欠いている。
lead,動詞,導く,A,She led the team to victory.,彼女はチームを勝利に導いた。
leave,動詞,去る / 残す,A,What time do you leave home?,あなたは何時に家を出ますか。
lend,動詞,貸す,A,Can you lend me some money?,お金を貸してくれますか。
let,動詞,〜させる,A,Please let me know the results.,結果を私に知らせてください。
lose,動詞,失う / 負ける,A,I lost my wallet yesterday.,昨日財布を失くしてしまった。
manage,動詞,管理する / 何とかやり遂げる,A,I managed to finish my work.,私は何とか仕事を終わらせた。
matter,動詞,重要である,A,It doesn't matter what you say.,君が何を言おうと関係ない。
mean,動詞,意味する,A,What does this word mean?,この単語はどういう意味ですか。
mention,動詞,述べる,A,He didn't mention the problem.,彼はその問題に言及しなかった。
miss,動詞,逃す / 寂しく思う,A,I missed the train this morning.,私は今朝、電車に乗り遅れた。
move,動詞,動く / 引っ越す,A,My family moved to Tokyo.,私の家族は東京に引っ越した。
notice,動詞,気づく,A,I didn't notice you were there.,あなたがそこにいるのに気づかなかった。
offer,動詞,提供する,A,He offered to help me.,彼は私を助けると言ってくれた。
order,動詞,注文する,A,I ordered pizza for dinner.,夕食にピザを注文した。
organize,動詞,組織する / 整理する,A,We organized a welcome party.,私たちは歓迎会を企画した。
overcome,動詞,克服する,A,She overcame many difficulties.,彼女は多くの困難を乗り越えた。
own,動詞,所有する,A,He owns a big house.,彼は大きな家を所有している。
pass,動詞,通る / 合格する,A,I hope I can pass the test.,テストに合格できるといいな。
pay,動詞,支払う,A,How much did you pay for it?,それにいくら払いましたか。
perform,動詞,行う / 演奏する,A,The band performed well.,そのバンドは上手に演奏した。
pick,動詞,選ぶ / 摘む,A,I will pick you up at the station.,駅まで迎えに行くよ。
plant,動詞,植える,A,We planted some flowers.,私たちは花を植えた。
practice,動詞,練習する,A,You should practice every day.,毎日練習すべきだ。
prepare,動詞,準備する,A,My mother is preparing dinner.,母は夕食の準備をしている。
prevent,動詞,防ぐ,A,We must prevent forest fires.,私たちは森林火災を防がなければならない。
produce,動詞,生産する,A,This factory produces cars.,この工場は車を生産している。
promise,動詞,約束する,A,I promise to call you later.,後で電話すると約束するよ。
protect,動詞,守る,A,We should protect wild animals.,私たちは野生動物を守るべきだ。
publish,動詞,出版する,A,He published his first book.,彼は最初の本を出版した。
raise,動詞,上げる / 育てる,A,Please raise your hand.,手を挙げてください。
reach,動詞,着く / 届く,A,We reached the top of the mountain.,私たちは山頂に到達した。
realize,動詞,悟る / 実現する,A,I didn't realize that it was late.,遅いということに気づかなかった。
receive,動詞,受け取る,A,I received an email from him.,私は彼からメールを受け取った。
recognize,動詞,認める / 識別する,A,I couldn't recognize him.,私は彼だとわからなかった。
recommend,動詞,勧める,A,My teacher recommended this book.,先生はこの本を勧めてくれた。
reduce,動詞,減らす,A,We should reduce plastic waste.,プラスチックゴミを減らすべきだ。
regret,動詞,後悔する,A,I regret buying this watch.,この時計を買ったことを後悔している。
remember,動詞,覚えている,A,I can't remember his name.,彼の名前を思い出せない。
remove,動詞,取り除く,A,Please remove your shoes here.,ここで靴を脱いでください。
reply,動詞,返事をする,A,She didn't reply to my letter.,彼女は私の手紙に返事をしなかった。
report,動詞,報告する,A,I have to report the accident.,事故を報告しなければならない。
require,動詞,必要とする,A,This job requires English skills.,この仕事は英語のスキルが必要だ。
save,動詞,救う / 貯める,A,He saved the child from the river.,彼は川からその子を救った。
seem,動詞,〜のように見える,A,You seem tired today.,今日は疲れているようだね。
serve,動詞,出す / 仕える,A,They serve good food here.,ここは良い食事を出す。
succeed,動詞,成功する,A,He succeeded in passing the test.,彼はテストに合格することに成功した。
suggest,動詞,提案する,A,I suggested going for a walk.,私は散歩に行くことを提案した。
suppose,動詞,思う / 仮定する,A,What am I suppose to do?,私は何をすべきなのですか。
survive,動詞,生き残る,A,He survived the cold winter.,彼は厳しい冬を生き延びた。
throw,動詞,投げる,A,Don't throw stones.,石を投げてはいけません。
trade,動詞,貿易する / 交換する,A,Japan trades with many countries.,日本は多くの国と貿易している。
train,動詞,訓練する,A,I am training for the marathon.,私はマラソンのために訓練（練習）している。
translate,動詞,翻訳する,A,Can you translate this into English?,これを英語に訳せますか。
trust,動詞,信頼する,A,You can trust him.,彼は信頼できる。
turn,動詞,回る / 曲がる,A,Please turn off the light.,電気を消してください。
vote,動詞,投票する,A,I'm going to vote for her.,私は彼女に投票するつもりだ。
warn,動詞,警告する,A,He warned me about the dog.,彼は私にその犬について警告した。
waste,動詞,浪費する,A,Don't waste your money.,お金を無駄にしてはいけない。
wipe,動詞,ふく,A,Please wipe the window.,窓を拭いてください。
wish,動詞,願う,A,I wish I could fly.,空を飛べたらいいのになあ。
wonder,動詞,〜かなと思う,A,I wonder why she is crying.,なぜ彼女は泣いているのかな。
wrap,動詞,包む,A,She wrapped the present.,彼女はプレゼントを包んだ。
ability,名詞,能力,A,He has the ability to speak three languages.,彼は3ヶ国語を話す能力があります。
accident,名詞,事故,A,I saw a car accident near the station.,私は駅の近くで自動車事故を見ました。
advantage,名詞,利点,A,Living in a big city has many advantages.,大都市に住むことには多くの利点があります。
advice,名詞,助言,A,My teacher gave me some good advice.,先生は私にいくつか良い助言をくれました。
agency,名詞,代理店,A,I went to a travel agency to book a flight.,私は飛行機を予約するために旅行代理店へ行きました。
amount,名詞,量,A,We need a large amount of water for the garden.,庭には大量の水が必要です。
ancestor,名詞,祖先,A,My ancestors came from Italy long ago.,私の先祖はずっと昔にイタリアから来ました。
announcement,名詞,発表,A,There was an announcement about the train delay.,電車の遅れについての放送（発表）がありました。
approach,名詞,接近 / 方法,A,We need a new approach to solve this problem.,この問題を解決するために新しい方法が必要です。
article,名詞,記事,A,I read an interesting article about space.,私は宇宙に関する面白い記事を読みました。
astronaut,名詞,宇宙飛行士,A,The astronaut traveled to the space station.,その宇宙飛行士は宇宙ステーションへ行きました。
athlete,名詞,運動選手,A,Many athletes are practicing for the Olympics.,多くの選手がオリンピックのために練習しています。
atmosphere,名詞,大気 / 雰囲気,A,The restaurant has a very nice atmosphere.,そのレストランはとても良い雰囲気です。
audience,名詞,観客,A,The audience enjoyed the piano concert.,観客はピアノコンサートを楽しみました。
avenue,名詞,大通り,A,There are many shops along this avenue.,この大通り沿いにはたくさんの店があります。
average,名詞,平均,A,The average score of the test was 70.,テストの平均点は70点でした。
behavior,名詞,行動,A,His behavior at school is always polite.,彼の学校での振る舞いはいつも礼儀正しい。
billion,名詞,10億,A,The world population is over eight billion.,世界の人口は80億人を超えています。
biology,名詞,生物学,A,I am studying biology to learn about plants.,私は植物について学ぶために生物学を勉強しています。
branch,名詞,枝 / 支店,A,The bird is sitting on a tree branch.,鳥が木の枝に止まっています。
broadcast,名詞,放送,A,The soccer game was a live broadcast.,そのサッカーの試合は生放送でした。
capital,名詞,首都 / 資本,A,Paris is the capital of France.,パリはフランスの首都です。
chemistry,名詞,化学,A,We had a chemistry class in the lab today.,今日は実験室で化学の授業がありました。
citizen,名詞,市民,A,Every citizen has the right to vote.,すべての市民には投票する権利があります。
community,名詞,地域社会,A,We should help people in our community.,私たちは地域のコミュニティの人々を助けるべきです。
competition,名詞,競争,A,She won first prize in the speech competition.,彼女はスピーチ大会で1位を取りました。
concentration,名詞,集中,A,Noise makes it hard for my concentration.,騒音のせいで集中するのが難しいです。
condition,名詞,状態 / 条件,A,My car is old but it is in good condition.,私の車は古いですが、状態は良いです。
congratulation,名詞,祝い,A,Congratulations on passing the exam!,試験合格おめでとう！
cost,名詞,費用,A,The cost of travel is increasing.,旅行の費用が増えています。
court,名詞,法廷 / コート,A,We played tennis at the court yesterday.,私たちは昨日テニスコートでテニスをしました。
co-worker,名詞,同僚,A,I went to lunch with my co-workers.,私は同僚たちとランチに行きました。
calculator,名詞,計算機,A,Can I use a calculator for this math test?,この数学のテストで電卓を使ってもいいですか？
damage,名詞,損害,A,The storm caused damage to many houses.,嵐が多くの家に損害を与えました。
debate,名詞,討論,A,We had a debate about school uniforms.,私たちは学校の制服について討論しました。
decrease,名詞,減少,A,There was a decrease in the number of students.,生徒の数に減少が見られました。
degree,名詞,程度 / 学位,A,He got a degree in history last year.,彼は昨年、歴史学の学位を取得しました。
delay,名詞,遅れ,A,I was late because of a train delay.,電車の遅れのせいで遅刻しました。
department,名詞,部門 / 学科,A,She works in the marketing department.,彼女はマーケティング部門で働いています。
detail,名詞,詳細,A,Please explain the plan in more detail.,その計画をより詳細に説明してください。
direction,名詞,方向 / 指示,A,You are going in the wrong direction.,あなたは間違った方向へ行っています。
director,名詞,監督 / 責任者,A,The director told the actors what to do.,監督は俳優たちに何をすべきか伝えました。
disaster,名詞,災害,A,We must prepare for a natural disaster.,私たちは自然災害に備えなければなりません。
discovery,名詞,発見,A,The discovery of fire changed human history.,火の発見は人類の歴史を変えました。
discussion,名詞,議論,A,We had a long discussion about the party.,私たちはパーティーについて長い議論をしました。
disease,名詞,病気,A,Smoking can cause many serious diseases.,喫煙は多くの深刻な病気を引き起こす可能性があります。
education,名詞,教育,A,Education is very important for children.,教育は子供たちにとって非常に重要です。
effect,名詞,効果 / 影響,A,This medicine has a strong effect on me.,この薬は私に強い効果があります。
effort,名詞,努力,A,He made a great effort to win the race.,彼はレースに勝つために多大な努力をしました。
elderly,名詞,高齢者,A,We should be kind to the elderly.,私たちはお年寄りに親切にするべきです。
electronics,名詞,電子工学,A,I bought a new TV at the electronics shop.,私は家電店で新しいテレビを買いました。
emergency,名詞,緊急事態,A,Call 119 in case of an emergency.,緊急の時は119番に電話してください。
employee,名詞,従業員,A,The company has more than 100 employees.,その会社には100人以上の従業員がいます。
equipment,名詞,設備,A,Our school bought new computer equipment.,私たちの学校は新しいコンピュータ設備を買いました。
examination,名詞,試験,A,I have to study hard for the final examination.,私は期末試験のために一生懸命勉強しなければなりません。
exchange,名詞,交換,A,I want to exchange yen for dollars.,私は円をドルに交換したいです。
excuse,名詞,言い訳,A,He made an excuse for being late again.,彼はまた遅刻した言い訳をしました。
exhibit,名詞,展示物,A,The museum has a special exhibit of old coins.,博物館には古い硬貨の特別展示があります。
experience,名詞,経験,A,Traveling is a great experience for me.,旅行は私にとって素晴らしい経験です。
expert,名詞,専門家,A,She is an expert in Japanese history.,彼女は日本史の専門家です。
explorer,名詞,探検家,A,The explorer discovered a new island.,その探検家は新しい島を発見しました。
fare,名詞,運賃,A,How much is the train fare to Tokyo?,東京までの電車の運賃はいくらですか？
fault,名詞,欠点 / 責任,A,It was my fault that we missed the bus.,バスに乗り遅れたのは私の責任でした。
favor,名詞,親切な行為,A,Can you do me a favor and help me?,お願いがあるのですが、手伝ってくれませんか？
feature,名詞,特徴,A,This phone has many useful features.,この電話には多くの便利な機能があります。
fee,名詞,料金,A,The library has no membership fee.,その図書館には会費（登録料）はありません。
figure,名詞,数字 / 姿,A,I saw a dark figure in the garden.,私は庭で黒い影（人影）を見ました。
flow,名詞,流れ,A,The river flow is very fast after the rain.,雨の後、川の流れはとても速いです。
forecast,名詞,予報,A,"According to the forecast, it will rain tomorrow.",予報によると、明日は雨が降るでしょう。
freedom,名詞,自由,A,We have the freedom to choose our jobs.,私たちには仕事を選ぶ自由があります。
furniture,名詞,家具,A,I bought some new furniture for my room.,私は自分の部屋のためにいくつか新しい家具を買いました。
generation,名詞,世代,A,Each generation has different ideas.,それぞれの世代は異なる考えを持っています。
government,名詞,政府,A,The government decided to build a new road.,政府は新しい道路を作ることを決めました。
graduation,名詞,卒業,A,I will study in the UK after graduation.,私は卒業後、イギリスで勉強するつもりです。
harm,名詞,害,A,Too much sugar can do harm to your body.,砂糖の摂りすぎは体に害を及ぼすことがあります。
harmony,名詞,調和,A,We should live in harmony with nature.,私たちは自然と調和して暮らすべきです。
harvest,名詞,収穫,A,The farmers are busy during the harvest.,農家の人たちは収穫の間、忙しいです。
horizon,名詞,地平線,A,The sun is setting below the horizon.,太陽が地平線の下に沈んでいきます。
imagination,名詞,想像,A,You need imagination to write a story.,物語を書くには想像力が必要です。
impression,名詞,印象,A,My first impression of him was very good.,彼に対する私の第一印象はとても良かったです。
